timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
122537347,0.08064079,0.014162939,0.1450167,-0.9860359,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122542347,0.08018415,0.014460849,0.14438272,-0.9861618,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122547347,0.07968403,0.01483074,0.14383155,-0.9862774,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122552402,0.07919293,0.014929729,0.14293827,-0.9864453,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122557347,0.078668915,0.015471315,0.14230531,-0.9865704,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122562351,0.07816787,0.015510003,0.1413369,-0.98674875,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122567349,0.077650495,0.015959548,0.14056371,-0.9868929,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122572376,0.077122875,0.016127886,0.13969612,-0.9870547,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122577361,0.07662737,0.016348973,0.13884549,-0.9872097,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122582347,0.07611477,0.016680613,0.13817999,-0.9873371,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122587357,0.075617634,0.016670352,0.13721867,-0.98750955,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122592359,0.07511184,0.01712018,0.1366288,-0.9876223,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122597350,0.07460936,0.017082712,0.13585062,-0.9877683,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122602347,0.0740785,0.017460663,0.1352542,-0.98788357,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122607347,0.07355682,0.017591925,0.13470918,-0.9879946,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122612359,0.07303338,0.017693335,0.13402362,-0.98812485,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122617347,0.07249319,0.018027442,0.13361126,-0.98821443,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122622347,0.07195959,0.017915357,0.1329125,-0.9883498,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122627347,0.07141487,0.018268714,0.13250336,-0.98843765,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122632396,0.070859425,0.018179148,0.13193542,-0.9885553,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122637349,0.070313066,0.018376548,0.13146,-0.98865396,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122642347,0.06975606,0.018479573,0.13109528,-0.9887399,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122647347,0.06920822,0.018463181,0.13056867,-0.9888484,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122652352,0.0686392,0.018734474,0.13029294,-0.9889193,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122657349,0.068087555,0.018575,0.12976873,-0.9890294,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122662347,0.06755966,0.01885638,0.12957639,-0.9890855,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122667347,0.06703148,0.018746758,0.12922767,-0.9891691,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122672396,0.06649749,0.01883321,0.12890857,-0.9892452,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122677375,0.06595267,0.018961206,0.12873974,-0.98930126,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122682347,0.065415,0.0188447,0.128308,-0.98939526,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122687347,0.06487321,0.019130474,0.1281706,-0.9894432,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122692397,0.06431068,0.018988285,0.12772743,-0.98954004,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122697350,0.063742936,0.019253733,0.12741505,-0.9896118,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122702347,0.063154966,0.019265147,0.12696582,-0.9897071,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122707347,0.06257682,0.019391593,0.12651151,-0.98979944,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122712397,0.061983965,0.019626375,0.12613471,-0.9898802,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122717377,0.061369415,0.019602826,0.12546217,-0.9900044,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122722347,0.060752433,0.019976161,0.1249771,-0.9900964,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122727347,0.060139403,0.019887988,0.12429245,-0.9902218,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122732353,0.059536465,0.020188699,0.12381655,-0.9903117,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122737350,0.058916785,0.020240227,0.123287395,-0.9904138,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122742347,0.058316093,0.020343589,0.12271578,-0.99051815,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122747347,0.05770503,0.020615898,0.12243653,-0.9905829,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122752396,0.057112772,0.020567585,0.12194286,-0.9906791,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122757397,0.056520335,0.020914465,0.121726006,-0.99073255,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122762347,0.055920385,0.020850945,0.12128811,-0.9908216,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122767347,0.055314098,0.02114607,0.121083364,-0.9908744,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122772370,0.054700654,0.02123684,0.120849535,-0.990935,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122777350,0.054084208,0.02133522,0.12057226,-0.9910006,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122782379,0.053472582,0.021625267,0.120438784,-0.9910436,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122787356,0.052841432,0.021551294,0.12012651,-0.99111706,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122792375,0.052204993,0.021937767,0.1200914,-0.99114656,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122797375,0.051568855,0.02191296,0.11989934,-0.99120367,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122802376,0.05091804,0.022190511,0.11977987,-0.9912455,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122807371,0.050269827,0.022353034,0.11970433,-0.9912842,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122812392,0.049616195,0.022444187,0.11958933,-0.9913289,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122817350,0.048963618,0.022778591,0.11961013,-0.9913511,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122822352,0.04831368,0.022708302,0.11941514,-0.9914082,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122827353,0.047679614,0.023074497,0.1194906,-0.9914214,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122832372,0.047038913,0.023060221,0.119410016,-0.99146193,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122837407,0.046393894,0.023303373,0.119441725,-0.99148285,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122842391,0.045747485,0.023502612,0.11947953,-0.99150366,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122847391,0.045105357,0.02355687,0.11937422,-0.9915444,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122852381,0.04446461,0.023894984,0.11953857,-0.99154556,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122857391,0.043799203,0.023873193,0.11940621,-0.99159163,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122862391,0.04316698,0.024232067,0.11954916,-0.9915934,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122867394,0.042534593,0.02426764,0.11961047,-0.9916125,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
