timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
336385526,65333,1,1,1,0,0,0,0,0
336896423,65333,1,1,1,0,0,0,0,0
338914044,65333,1,1,1,0,0,0,0,0
339415908,65333,1,1,1,0,0,0,0,0
339916324,65333,1,1,1,0,0,0,0,0
340418220,65333,1,1,1,0,0,0,0,0
340925546,65333,1,1,1,0,0,0,0,0
341427178,65333,1,1,1,0,0,0,0,0
341935120,65333,1,1,1,0,0,0,0,0
342445413,65333,1,1,1,0,0,0,0,0
342947174,65333,1,1,1,0,0,0,0,0
343447181,65333,1,1,1,0,0,0,0,0
343953491,65333,1,1,1,0,0,0,0,0
344456516,65333,1,1,1,0,0,0,0,0
344958232,65333,1,1,1,0,0,0,0,0
345465467,65333,1,1,1,0,0,0,0,0
345968337,65333,1,1,1,0,0,0,0,0
346474171,65333,1,1,1,0,0,0,0,0
346976428,65333,1,1,1,0,0,0,0,0
347478218,65333,1,1,1,0,0,0,0,0
347985679,65333,1,1,1,0,0,0,0,0
348487217,65333,1,1,1,0,0,0,0,0
348993552,65333,1,1,1,0,0,0,0,0
349496501,65333,1,1,1,0,0,0,0,0
349998329,65333,1,1,1,0,0,0,0,0
350505369,65333,1,1,1,0,0,0,0,0
351013387,65333,1,1,1,0,0,0,0,0
351516675,65333,1,1,1,0,0,0,0,0
352027197,65333,1,1,1,0,0,0,0,0
352533652,65333,1,1,1,0,0,0,0,0
353036570,65333,1,1,1,0,0,0,0,0
353538230,65333,1,1,1,0,0,0,0,0
354045439,65333,1,1,1,0,0,0,0,0
354547175,65333,1,1,1,0,0,0,0,0
355053588,65333,1,1,1,0,0,0,0,0
355556470,65333,1,1,1,0,0,0,0,0
356067229,65333,1,1,1,0,0,0,0,0
356573650,65333,1,1,1,0,0,0,0,0
357076501,65333,1,1,1,0,0,0,0,0
360096503,65333,1,1,1,0,0,0,0,0
360598180,65333,1,1,1,0,0,0,0,0
361098314,65333,1,1,1,0,0,0,0,0
361605640,65333,1,1,1,0,0,0,0,0
362107204,65333,1,1,1,0,0,0,0,0
362613381,65333,1,1,1,0,0,0,0,0
363116428,65333,1,1,1,0,0,0,0,0
363616584,65333,1,1,1,0,0,0,0,0
364118207,65333,1,1,1,0,0,0,0,0
364627214,65333,1,1,1,0,0,0,0,0
365135666,65333,1,1,1,0,0,0,0,0
365636395,65333,1,1,1,0,0,0,0,0
366138178,65333,1,1,1,0,0,0,0,0
366645454,65333,1,1,1,0,0,0,0,0
367147176,65333,1,1,1,0,0,0,0,0
367653378,65333,1,1,1,0,0,0,0,0
368157288,65333,1,1,1,0,0,0,0,0
368658177,65333,1,1,1,0,0,0,0,0
369165491,65333,1,1,1,0,0,0,0,0
369676497,65333,1,1,1,0,0,0,0,0
370181595,65333,1,1,1,0,0,0,0,0
370685533,65333,1,1,1,0,0,0,0,0
371196522,65333,1,1,1,0,0,0,0,0
371698184,65333,1,1,1,0,0,0,0,0
372205611,65333,1,1,1,0,0,0,0,0
